Upb1,0.0115058115,0.012480022
Tspear,0.023776956,0.01872909
Madcam1,0.008315564,0.020449514
Abca7,0.01544158,0.014648537
Reep6,0.012347473,0.020186516
1500009L16Rik,0.009294908,0.011237479
Tcp11l2,0.014626278,0.0171757
Btbd11,0.017828722,0.0230577
Timp3,0.019038156,0.007838226
Fgd6,0.01380141,0.03271661
Tmcc3,0.010023073,0.0051214006
Atp2b1,0.013246747,0.015609345
Csrp2,0.019462978,0.012971169
Phlda1,0.01161584,0.008508714
Kcnc2,0.015530992,0.024195561
Tspan8,0.0032358782,0.05029748
Ptprr,0.0072983727,0.011200722
Cpm,0.0095873475,0.010477487
Mdm1,0.016294975,0.0372384
Fam19a2,0.017521534,0.012420004
Baz2a,0.01771153,0.018444004
Emid1,0.0098691555,0.004478563
Gck,0.01862944,0.027756583
Camk2b,0.017945735,0.016990457
Ddc,0.012211176,0.020542892
Ehbp1,0.014980508,0.05137203
Acyp2,0.0070119672,0.010056577
Stc2,0.006850414,0.032714654
Hmmr,0.018143319,0.018727457
Sqstm1,0.02395131,0.01749446
Pdlim4,0.008283538,0.029741399
Anxa6,0.014543757,0.01065722
Sparc,0.024649685,0.01183629
Fam183b,0.025857126,0.007868873
Dnah9,0.013767623,0.02466158
Rap1gap2,0.023941582,0.054550588
Serpinf2,0.010482444,0.021914093
Doc2b,0.006488893,0.00746079
Rph3al,0.013407175,0.012827573
Trp53i13,0.004659864,0.0049196356
Tmem97,0.015328987,0.009909039
Asic2,0.011567301,0.016112499
Ypel2,0.018813873,0.01749319
Gdpd1,0.01785782,0.04991034
Scpep1,0.026754174,0.009535659
Pdk2,0.027576528,0.006252897
Gpr179,0.01714953,0.0140714245
Neurod2,0.01845124,0.020454986
Top2a,0.019442357,0.02035698
Krt23,0.005141236,0.02373472
Krt19,0.010985075,0.008829759
Hap1,0.01425984,0.013685554
Acly,0.027626293,0.01133845
Stat3,0.019296149,0.015086891
Etv4,0.01353872,0.019933902
Ppy,0.018317308,0.01975417
Pyy,0.017510671,0.023331981
1700023F06Rik,0.021603316,0.012829133
Smarcd2,0.025244832,0.017402606
Kpna2,0.011614199,0.01771555
Pitpnc1,0.014072796,0.012576686
Cacng4,0.015581827,0.014673852
Prkca,0.012882471,0.05796328
Wipi1,0.008515557,0.007239362
2610035D17Rik,0.01888684,0.019581573
Sdk2,0.022185124,0.07258613
Btbd17,0.026090648,0.011228887
Grin2c,0.01406981,0.020012066
Hid1,0.013335771,0.011746674
Hn1,0.025462478,0.011340476
Acox1,0.017746367,0.014229197
Evpl,0.006926263,0.008055731
Tk1,0.025404803,0.008970026
Rbfox3,0.019450836,0.028070996
Tbc1d16,0.021379048,0.0153079
Notum,0.022555739,0.013661209
Rab40b,0.016968926,0.019123543
Selm,0.017891703,0.018213928
Upp1,0.009442995,0.016307054
Cpeb4,0.012512038,0.010673975
Hba-x,0.00043662844,0.0005076142
Hba-a1,0.0005395804,0.0004403621
Hba-a2,0.00063466164,0.000732804
Ebf1,0.001933548,0.0022997614
Trim7,0.012588074,0.011600971
Rnf130,0.016439361,0.011238323
Acsl6,0.007817803,0.0070908945
Gpx3,0.016385168,0.017183185
Slc36a1,0.010385828,0.013786986
Gm12258,0.012904849,0.01914749
Wnt9a,0.015183878,0.015488059
Mfap4,0.020073779,0.022325195
Gsg1l2,0.012576351,0.014896754
Aurkb,0.018001163,0.013101941
Dlg4,0.017233996,0.019047024
Fam64a,0.019279404,0.01787869
Atp2a3,0.011960276,0.012694748
P2rx1,0.017414985,0.016044278
Slc43a2,0.019972159,0.016665185
Sez6,0.007186107,0.013362716
Vtn,0.011946554,0.016684439
Rhbdl3,0.009920303,0.022958463
Ccl4,0.020898344,0.024898242
Lhx1os,0.015413465,0.01022124
Samd14,0.018799962,0.011156539
Slc35b1,0.033488203,0.015682159
Gip,0.01378127,0.012790429
Skap1,0.018680606,0.025528833
Cdc6,0.022025704,0.014385318
Gast,0.015022641,0.013410709
Atp6v0a1,0.010129572,0.013873423
Wnk4,0.012800647,0.025801687
Rundc1,0.011059858,0.028488256
Nbr1,0.017501585,0.01627621
Mapt,0.04251362,0.007404206
Kcnh6,0.008942524,0.015381686
Gm11716,0.017580574,0.017489685
Cog1,0.015387365,0.0075952113
Ttyh2,0.013849748,0.07153376
Kif19a,0.015323572,0.011129175
Gpr142,0.012188554,0.00892986
Rab37,0.016141787,0.012583512
Slc16a5,0.016263342,0.012093114
Birc5,0.017176166,0.008731398
Gcgr,0.014322043,0.022080885
Id2,0.009906069,0.01350862
Rsad2,0.010338945,0.019953076
Scin,0.016341656,0.009123591
Mis18bp1,0.017980384,0.021646654
Pygl,0.013163842,0.02120511
Trim9,0.012313083,0.019022767
Rtn1,0.009181146,0.0069702743
Rab15,0.016589137,0.016849793
Zfp36l1,0.014597731,0.015372448
Tmed8,0.016263466,0.012492652
Sel1l,0.011223755,0.015077867
Eml5,0.008052931,0.0124220885
Serpina10,0.0106974235,0.009403499
Serpina6,0.007409845,0.013706651
Serpina1b,0.004656284,0.00849367
Serpina1c,0.0053078225,0.00993329
Serpina1e,0.005226386,0.024927886
Clmn,0.008399785,0.020095307
Dnah11,0.017502476,0.0055552614
Hpcal1,0.01324839,0.008748794
Rrm2,0.013082137,0.016875988
Myt1l,0.0076589645,0.016630065
Lamb1,0.019066803,0.0137452
Efcab10,0.019337183,0.010013899
Dgkb,0.012700991,0.016530842
Etv1,0.017688127,0.03338788
Daam1,0.017507544,0.006893375
Syt16,0.013808377,0.01517355
1700086L19Rik,0.02141057,0.016973069
Smoc1,0.013894965,0.016379658
Gstz1,0.018245714,0.016062418
Flrt2,0.015999239,0.014610265
Ttc8,0.019193307,0.01930817
Chga,0.01915849,0.01347463
Unc79,0.013852134,0.04301042
Dlk1,0.01635918,0.010611726
Kif26a,0.01352181,0.024136921
Ptprn2,0.012355657,0.043997247
Akr1c12,0.019173132,0.010094932
Chrm3,0.00977319,0.019849285
Edaradd,0.0134001905,0.021280335
Pou6f2,0.015855173,0.025473295
Scgn,0.022356268,0.0126493005
Gmnn,0.02992665,0.009495523
Gfod1,0.0127558205,0.009715549
Dek,0.026194243,0.019118622
Diras2,0.020520015,0.00786589
Dbn1,0.036791235,0.010216504
Fbp1,0.0054564984,0.023169786
Ptch1,0.009875102,0.009919756
Cdc14b,0.014421239,0.012371981
Adamts16,0.01475749,0.03908267
Irx1,0.017556878,0.014694193
Atg10,0.014042726,0.01685852
Rasgrf2,0.014980289,0.013262032
Bhmt2,0.009726394,0.015590743
Scamp1,0.015946615,0.0126341665
Sv2c,0.02750788,0.0019349478
Tmem171,0.014069659,0.02245312
Map1b,0.02798039,0.014001512
Cartpt,0.020836985,0.0102343485
Ccnb1,0.018510396,0.019429743
Pik3r1,0.011745007,0.030984683
Fam159b,0.017854631,0.020780146
Rab3c,0.013317344,0.019167803
Isl1,0.022008127,0.027956817
Akr1c19,0.01302542,0.056177687
Ero1lb,0.0291264,0.120202765
Gng4,0.015279482,0.011203878
Dcdc2a,0.019515393,0.052320458
Phactr1,0.015175298,0.031654455
Jarid2,0.011478614,0.014808778
Gmpr,0.011579962,0.024787962
Rbm24,0.017946845,0.0115554985
Cks2,0.03504363,0.012700127
Gadd45g,0.01627795,0.053956114
Cplx2,0.015009492,0.019056093
Habp4,0.012962684,0.012181919
Irx2,0.016259497,0.008127249
Pcsk1,0.017919306,0.0143140415
Ell2,0.006912311,0.009157296
Dhfr,0.027444333,0.012172712
Lhfpl2,0.00925897,0.015033827
Enc1,0.015599091,0.023558456
Emb,0.0151654305,0.07926539
Cadps,0.018131254,0.036881547
Gng2,0.01011473,0.007751712
Kcnk16,0.015404989,0.025964545
Kcnma1,0.011489606,0.02008668
Cacna1d,0.015291547,0.05861678
Gch1,0.03716906,0.0062491754
1700011H14Rik,0.025019493,0.016066879
Slc7a8,0.013544644,0.017237654
Zfhx2,0.017580288,0.0137953935
Jph4,0.01119457,0.014698822
Ptk2b,0.013856611,0.022518616
Dpysl2,0.014319295,0.012609548
Cdca2,0.022215284,0.0261214
Bmp1,0.015935585,0.034100145
Fndc3a,0.016437454,0.05319581
Serp2,0.012400303,0.01007847
Pcdh9,0.010476517,0.0144826295
Dach1,0.013798974,0.02177648
Mycbp2,0.014790372,0.010191198
Fgf14,0.015987337,0.02314113
Synpr,0.02118883,0.025391899
Tnnc1,0.006704862,0.019125152
Sema3g,0.012553298,0.01212317
Glud1,0.013708314,0.017526168
Wapl,0.014502789,0.007613459
Gm8113,0.01102667,0.012379014
Cdkn3,0.013884635,0.019534698
Samd4,0.013145287,0.012161519
Slc39a2,0.019886587,0.021499489
Lrrc16b,0.012745499,0.026036471
Rec8,0.017205458,0.012612255
Mtmr6,0.01592272,0.013127398
Pbk,0.01982566,0.015597014
Clu,0.012289313,0.005969707
Trim35,0.014218608,0.01429519
Ebf2,0.01685632,0.014152046
Lgi3,0.015768548,0.018244186
Cpb2,0.0020525225,0.023361433
Cldn10,0.01823116,0.0086098
Hs6st3,0.01838652,0.010978557
Ghr,0.0120342225,0.010930742
Basp1,0.023885824,0.014707347
Fam105a,0.016160216,0.010110382
Rnf19a,0.021026561,0.012406084
Klf10,0.020110363,0.014356659
Enpp2,0.023095882,0.00828436
Atad2,0.015233815,0.025173983
Fbxo32,0.0026336974,0.02302405
Tmem65,0.007642672,0.012821041
Ndrg1,0.023766113,0.008375781
Ly6h,0.024855873,0.003006192
Mfng,0.019137286,0.016567254
Lgals2,0.0012891139,0.033128504
Tmem184b,0.014060994,0.032269057
Desi1,0.017983714,0.01594978
Tcf20,0.016429199,0.017200554
Arfgap3,0.014942016,0.013214254
Scube1,0.012812454,0.020114018
1810041L15Rik,0.019264195,0.013712105
Wnt7b,0.0150400475,0.012741407
Rapgef3,0.012271989,0.006856748
Vdr,0.015748937,0.019265885
Col2a1,0.017677533,0.0081023015
Fkbp11,0.009865796,0.022455145
Racgap1,0.018314447,0.017794589
Cela1,0.0026459978,0.017125282
Calcoco1,0.014411134,0.011419607
Ppp1r1a,0.026749091,0.0664604
Sepp1,0.022436608,0.041713044
Plcxd3,0.015501703,0.01563651
Gdnf,0.009846906,0.008803919
Capsl,0.024164965,0.009428296
March11,0.0092159705,0.011437968
Ank,0.025168298,0.02363298
Dap,0.025353517,0.015704367
Rims2,0.017092738,0.031670887
Aard,0.009801564,0.036703687
Slc30a8,0.014957484,0.02407367
Mal2,0.008953654,0.009219899
Deptor,0.018437296,0.0090924725
Khdrbs3,0.011260809,0.01588033
Mapk15,0.013053566,0.010913276
Gcat,0.015730947,0.008050655
Sept3,0.013571824,0.022417111
Mapk8ip2,0.015026866,0.012961776
Cntn1,0.013900328,0.02431099
Pdzrn4,0.016005147,0.023937099
Tmem117,0.013950117,0.019999161
4930578M01Rik,0.011082316,0.0121234
Grasp,0.012656057,0.010621488
Nr4a1,0.008527742,0.010678493
Krt7,0.016592164,0.014562364
Krt18,0.031811308,0.012075544
Litaf,0.020775186,0.014930293
Gspt1,0.018887585,0.07812501
2510009E07Rik,0.016885368,0.017193243
Sst,0.021061579,0.012374898
Fgf12,0.0160001,0.019643832
Casr,0.030098975,0.005630634
Stxbp5l,0.01768851,0.025163058
Pla1a,0.015204702,0.020001318
Boc,0.015061976,0.01094923
Cd200,0.018246088,0.017930355
Gm609,0.012807321,0.022652902
Alcam,0.014960658,0.06647687
